ID_QUERY,Conceptual Evocation,WordNet Synset id,Term 1,Term 2,Term 3,Term…,,
177,Stationers,10672142,shop,sell,stationery,pen,pencil,
178,Stem,13149924,plant,flower,pipe,,,
179,Street,4341737,road,pavement,drive,traffic,highway,
180,Stupide,10686626,i'm with,smart,dumb,challenge,school,
181,Suffer,2113644,pain,experience,unpleasant,tears,,
182,Summer,15262047, hot, beach, ice-cream,,,
183,Sun,9473312, star, burning, sky, yellow, hot, tanned
184,Sun ,9473312,moon,light,hot,shine,bright,
185,Sunny,365018,bright,morning,Summer,Day,Yellow,
186,Swarm,8201135,group,insects,bee,move,together,
187,Swimming-Pool,4378312,water,summer,slide,bath,,
188,Switzerland ,9054023,cheese,chocolate,mountain,alp,cuckoo clock,
189,Symbolize,837915,symbol,represent,,,,
190,Table,4386330,room,dish,furniture,wood,chair,
191,Taboo ,X,words,game,now,describe,card,
192,Tank,4396120,container,store,vehicule,,,
193,Teacher,10713754, school, class, teach,,,
194,Tedious,1348155,boring,interesting,long,activity,,
195,Telepathy,7270666,ability,communication,thought,send,mind,
196,Television ,6287933,screen,programme,series,show,movies,
197,Tolerate,670017,criticize,accept,kind,say,,
198,Towel ,4466597,beach,bathtub,wet,dry,shower,
199,Transmit,975088,send,signal,radio,pass,,
200,Trap ,4481701,animal,catch,mouse,door,shut,
201,Tree ,13124818,leaves,branch,trunk,green,climb,
202,Tree ,13124818,plant,leaves,nature,leaf,branches,
203,Truck ,4497386,car,big,large,wheels,transport,
204,Underwear ,4516244,bra,clothes,lingerie,women,,
205,Uv ,11542373,ultra,violet,sun,ray,sun screen,
206,Vampire ,9567238,teeth,blood,coffin,dead,night,
207,Vapour,15080200,water,liquid,drop,air,float,
208,Violin,4544161,strings,orchestra,music,instrument,wood,
209,Virus,1331343,email,flue,internet,dangerous,sick,
210,Volcano ,9493680,lava,mountain,hot,fire,ash,
211,Water,14869913, liquid, blue, drink, refreshing, swim,
212,Water bottle ,4564934,school,drink,water,fill,store,
213,Website ,6370600,computer,online,.com .org etc,link,internet,
214,Window,4594951, open, glass, room,,,
215,Window,4594951,Air,Breeze,Gust,Blow,Move,
216,Wobbly,2300529,unsteadily,moving,weak,unbalanced,,
217,Wrench ,4613932,tool,toolbox,screwdriver,screw,bolt,
218,X-Men ,X,marvel superheroes,wolverine,cartoons,movie,mutant,
219,X-Ray ,11547628,radiology,picture,bones,see through,hospital,
220,Feline,2123649,cat,tiger,lion,panther,,
221,Vehicle,4531608,car,bus,boat,plane,,
222,Human,2474924,man,woman,,,,
223,Device,3187746,laptop,phone,television,,,
224,Fish,2514684,shark,dolphin,coelacanth,,,
225,Team sport,889222,soccer,basketball,handball,baseball,,
226,Container,3099154,Glass,bowl,mug,bottle,,
227,President,10486745,Obama,Trump,Lincoln,,,
228,Dictator,10031556,Hilter,Staline,Mussolini,Gaddafi,,
229,Measure,7275291,bit,meter,yard,celsius,,
230,Basketball player,9861435,Jordan,Bryant,Iverson,Mutombo,,
231,Religion,8098545,Christianity,Islam,Judaism,Buddhism,,
232,Europe,8190414,France,Germany,Spain,Italy,,
233,Operating systems,6580310,Linux,Mac OS,Windows,AmigaOS,,
234,Currency,13407086,Dollar,Euro,Pound,,,
235,Color,4963771,Red,Yellow,Blue,,,
236,Water,14869913,Ice,drink,rain,liquid,,
237,Asia,9230176,China,India,Indonesia,Pakistan,,
238,Internet,3585784,website,computer,network,,,
239,Planet,9416900,Earth,Jupiter,Mars,Neptune,Venus,
240,Pianist,10450429,Chopin,Beethoven,Mozart,Rachmaninoff,,
241,Guitarist,10171280,Hendrix,Clapton,Van Halen,B. B. King,Santana,
242,Soccer Player,10637858,Messi,Ronaldo,Pelé,Zidane,,
243,South America,8190188,Brazil,Argentina,Chile,Peru,,
244,Number ,13603216,1,10,3,15,,
245,stimulant,4327264,Coffee,tea,cocaine,guarana,,
246,alcohol,7900542,whiskey,vodka,gin,wine,,
247,sun,9473312,yellow,fire,round,star,,
248,moon,9381255,satellite,earth,round,,,
249,apollo,X,Armstrong,Moon,program,11,,
250,Queen ,10518940,king,wife,women,,,
251,Ocean,9399110,Atlantic,Pacific,Artic,Indian,Southern,
252,Captain,9912283,Drake,Morgan,Blackbeard,Cook,Nelson,
253,Island ,9339360,Hawaii,Australia,Bahamas,Cuba,,
254,Volcanoes,9495727,Krakatoa,Etna,St. Helens,Eyjafjallajökull,,
255,Mountains,9382700,Everest,Kilimanjaro,K2,Mont Blanc,,
256,Newspapers,6277798,The Independent,The Guardian The New York Times,,The Observer,,
257,States,8671935,Froride,Texas ,California,Colorado,,
258,bird,1505702,Parrot,owl,Pigeons,Flaminguos,,
259,Mathematician,10320928,Euclid,Gauss,Hilbert,Fermat,,
260,Physicists,10447768,Einstein,Hawking,Newton,Galilei,,
